"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1966-10-28 22.53 "LAL" "" "NYK" "W" 10 NA NA 0.852 NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "2" 1966-11-02 22.55 "LAL" "@" "BOS" "L" -25 NA 8 0.81 1 NA NA NA NA NA NA NA NA NA NA NA NA
"3" "3" 1966-11-04 22.55 "LAL" "" "BAL" "W" 33 NA NA 0.788 0.75 NA NA NA NA NA NA NA NA NA NA NA NA
"4" "4" 1966-11-11 22.57 "LAL" "@" "SFW" "L" -39 NA 14 0.387 0.333 NA NA NA NA NA NA NA NA NA NA NA NA
"5" "5" 1966-11-12 22.58 "LAL" "" "DET" "W" 56 NA NA 0.405 0.167 NA NA NA NA NA NA NA NA NA NA NA NA
"6" "6" 1966-11-19 22.59 "LAL" "" "SFW" "L" -35 NA 12 0.673 0.333 NA NA NA NA NA NA NA NA NA NA NA NA
"7" "7" 1966-11-23 22.61 "LAL" "" "CHI" "W" 24 NA 7 0 0 NA NA NA NA NA NA NA NA NA NA NA NA
"8" "8" 1966-12-03 22.63 "LAL" "@" "CIN" "W" 12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "9" 1966-12-21 22.68 "LAL" "" "PHI" "L" -6 NA 7 1.136 NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "10" 1966-12-26 22.7 "LAL" "@" "BOS" "L" -15 NA 6 1 1 NA NA NA NA NA NA NA NA NA NA NA NA
"11" "11" 1967-01-04 22.72 "LAL" "" "STL" "W" 21 NA 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "12" 1967-01-05 22.72 "LAL" "" "SFW" "L" -31 NA 2 0.379 NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "13" 1967-01-11 22.74 "LAL" "" "SFW" "W" 15 NA 4 0.51 0.4 NA NA NA NA NA NA NA NA NA NA NA NA
"14" "14" 1967-01-20 22.76 "LAL" "@" "PHI" "L" -11 NA 7 0.5 0.5 NA NA NA NA NA NA NA NA NA NA NA NA
"15" "15" 1967-01-25 22.78 "LAL" "" "BAL" "W" 13 NA NA 0.5 0.5 NA NA NA NA NA NA NA NA NA NA NA NA
"16" "16" 1967-01-28 22.79 "LAL" "" "BAL" "W" 15 NA NA 0 0 NA NA NA NA NA NA NA NA NA NA NA NA
"17" "17" 1967-02-03 22.8 "LAL" "" "SFW" "W" 49 NA 5 0.699 0.667 NA NA NA NA NA NA NA NA NA NA NA NA
"18" "18" 1967-02-26 22.87 "LAL" "" "CIN" "W" 14 NA NA 0 0 NA NA NA NA NA NA NA NA NA NA NA NA
"19" "19" 1967-03-10 22.9 "LAL" "" "DET" "W" 15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"20" "20" 1967-03-12 22.9 "LAL" "" "DET" "L" -16 NA NA 0.216 0 NA NA NA NA NA NA NA NA NA NA NA NA
"21" "21" 1967-03-15 22.91 "LAL" "" "PHI" "L" -15 NA NA 0 0 NA NA NA NA NA NA NA NA NA NA NA NA
"1" "1" 1967-10-14 23.5 "SDR" "" "STL" "L" -1 NA 44 0.461 NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "2" 1967-10-17 23.5 "SDR" "" "STL" "L" -18 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "3" 1967-10-20 23.51 "SDR" "@" "SEA" "W" 7 NA NA 0.684 NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "4" 1967-10-21 23.52 "SDR" "" "SEA" "L" -7 NA NA 0.474 NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "5" 1967-10-22 23.52 "SDR" "@" "SFW" "L" -11 NA 31 0.459 NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "6" 1967-10-25 23.53 "SDR" "" "BAL" "L" -16 NA 39 0.498 NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "7" 1967-10-27 23.53 "SDR" "" "CIN" "L" -3 NA NA 0.484 NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "8" 1967-10-29 23.54 "SDR" "" "CIN" "L" -9 NA NA 0.273 NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "9" 1967-11-01 23.55 "SDR" "" "SEA" "W" 14 NA NA 0.669 NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "10" 1967-11-04 23.55 "SDR" "" "NYK" "L" -4 NA 42 0.496 NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "11" 1967-11-05 23.56 "SDR" "" "NYK" "L" -8 NA 35 0.41 NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "12" 1967-11-07 23.56 "SDR" "" "PHI" "L" -25 NA 20 0.4 NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "13" 1967-11-08 23.56 "SDR" "" "PHI" "L" -15 NA 27 0.403 NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" "14" 1967-11-11 23.57 "SDR" "@" "CIN" "L" -1 NA NA 0.549 NA NA NA NA NA NA NA NA NA NA NA NA NA
"15" "15" 1967-11-12 23.58 "SDR" "@" "STL" "L" -11 NA 26 0.683 NA NA NA NA NA NA NA NA NA NA NA NA NA
"16" "16" 1967-11-14 23.58 "SDR" "@" "NYK" "L" -13 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" "17" 1967-11-15 23.58 "SDR" "" "NYK" "W" 14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" "18" 1967-11-16 23.59 "SDR" "" "CHI" "W" 8 NA 37 0.353 NA NA NA NA NA NA NA NA NA NA NA NA NA
"19" "19" 1967-11-17 23.59 "SDR" "@" "SEA" "L" -6 NA NA 0.513 NA NA NA NA NA NA NA NA NA NA NA NA NA
"20" "20" 1967-11-18 23.59 "SDR" "" "SFW" "L" -18 NA 24 0.524 NA NA NA NA NA NA NA NA NA NA NA NA NA
"21" "21" 1967-11-21 23.6 "SDR" "" "BOS" "L" -7 NA 36 0.261 NA NA NA NA NA NA NA NA NA NA NA NA NA
"22" "22" 1967-11-22 23.6 "SDR" "@" "BOS" "L" -14 NA 28 0.396 NA NA NA NA NA NA NA NA NA NA NA NA NA
"23" "23" 1967-11-23 23.61 "SDR" "@" "PHI" "L" -11 NA 26 0.548 NA NA NA NA NA NA NA NA NA NA NA NA NA
"24" "24" 1967-11-24 23.61 "SDR" "@" "DET" "L" -8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"25" "25" 1967-11-25 23.61 "SDR" "@" "STL" "L" -1 NA 38 0.538 NA NA NA NA NA NA NA NA NA NA NA NA NA
"26" "26" 1967-11-30 23.62 "SDR" "" "STL" "L" -42 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"27" "27" 1967-12-02 23.63 "SDR" "" "SFW" "W" 24 NA 38 0.459 NA NA NA NA NA NA NA NA NA NA NA NA NA
"28" "28" 1967-12-05 23.64 "SDR" "" "DET" "L" -1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"29" "29" 1967-12-07 23.64 "SDR" "@" "CHI" "W" 10 NA 37 0.504 NA NA NA NA NA NA NA NA NA NA NA NA NA
"30" "30" 1967-12-08 23.65 "SDR" "@" "SFW" "W" 30 NA 42 0.706 NA NA NA NA NA NA NA NA NA NA NA NA NA
"31" "31" 1967-12-09 23.65 "SDR" "" "LAL" "L" -18 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"32" "32" 1967-12-12 23.66 "SDR" "" "CHI" "W" 14 NA 26 0.717 NA NA NA NA NA NA NA NA NA NA NA NA NA
"33" "33" 1967-12-15 23.67 "SDR" "" "BOS" "L" -13 NA 44 0.495 NA NA NA NA NA NA NA NA NA NA NA NA NA
"34" "34" 1967-12-16 23.67 "SDR" "@" "NYK" "L" -24 NA 32 0.469 NA NA NA NA NA NA NA NA NA NA NA NA NA
"35" "35" 1967-12-17 23.67 "SDR" "" "DET" "W" 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"36" "36" 1967-12-20 23.68 "SDR" "" "BOS" "L" -10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"37" "37" 1967-12-22 23.68 "SDR" "@" "SFW" "L" -6 NA 48 0.438 NA NA NA NA NA NA NA NA NA NA NA NA NA
"38" "38" 1967-12-23 23.69 "SDR" "" "DET" "L" -4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"39" "39" 1967-12-25 23.69 "SDR" "" "LAL" "W" 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"40" "40" 1967-12-28 23.7 "SDR" "@" "SEA" "W" 18 NA 38 0.562 NA NA NA NA NA NA NA NA NA NA NA NA NA
"41" "41" 1967-12-31 23.71 "SDR" "@" "LAL" "L" -29 NA NA 0.747 NA NA NA NA NA NA NA NA NA NA NA NA NA
"42" "42" 1968-01-03 23.72 "SDR" "" "STL" "W" 2 NA 40 0.606 NA NA NA NA NA NA NA NA NA NA NA NA NA
"43" "43" 1968-01-06 23.73 "SDR" "" "SEA" "L" -18 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"44" "44" 1968-01-09 23.73 "SDR" "" "NYK" "L" -13 NA 27 0.752 NA NA NA NA NA NA NA NA NA NA NA NA NA
"45" "45" 1968-01-10 23.74 "SDR" "" "DET" "W" 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"46" "46" 1968-01-12 23.74 "SDR" "@" "STL" "L" -22 NA 36 0.381 NA NA NA NA NA NA NA NA NA NA NA NA NA
"47" "47" 1968-01-13 23.75 "SDR" "@" "CIN" "L" -6 NA NA 0.571 NA NA NA NA NA NA NA NA NA NA NA NA NA
"48" "48" 1968-01-16 23.75 "SDR" "@" "CHI" "L" -13 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"49" "49" 1968-01-17 23.76 "SDR" "" "CHI" "W" 6 NA 32 0.551 NA NA NA NA NA NA NA NA NA NA NA NA NA
"50" "50" 1968-01-18 23.76 "SDR" "" "CIN" "L" -3 NA NA 0.577 NA NA NA NA NA NA NA NA NA NA NA NA NA
"51" "51" 1968-01-21 23.77 "SDR" "@" "BOS" "L" -27 NA 40 0.513 NA NA NA NA NA NA NA NA NA NA NA NA NA
"52" "52" 1968-01-25 23.78 "SDR" "" "BAL" "L" -14 NA 34 0.42 NA NA NA NA NA NA NA NA NA NA NA NA NA
"1" "1" 1968-10-17 24.5 "SDR" "" "SEA" "W" 18 NA 37 0.509 NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "2" 1968-10-18 24.51 "SDR" "@" "SFW" "W" 15 NA 36 0.566 NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "3" 1968-10-23 24.52 "SDR" "@" "SEA" "L" -1 NA 32 0.421 NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "4" 1968-10-24 24.52 "SDR" "" "BAL" "L" -4 NA 40 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "5" 1968-10-27 24.53 "SDR" "@" "LAL" "L" -36 NA NA 0.545 NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "6" 1968-10-30 24.54 "SDR" "" "ATL" "W" 11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "7" 1968-11-03 24.55 "SDR" "" "CHI" "W" 14 NA 18 1.042 NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "8" 1968-11-05 24.56 "SDR" "" "NYK" "W" 4 NA 36 0.606 NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "9" 1968-11-08 24.56 "SDR" "@" "ATL" "L" -13 NA 26 0.46 NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "10" 1968-11-09 24.57 "SDR" "@" "BAL" "L" -2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "11" 1968-11-11 24.57 "SDR" "@" "BOS" "L" -21 NA 28 0.415 NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "12" 1968-11-12 24.58 "SDR" "@" "CHI" "L" -7 NA 27 0.515 NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "13" 1968-11-13 24.58 "SDR" "" "DET" "W" 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" "14" 1968-11-22 24.6 "SDR" "" "SEA" "W" 15 NA 35 0.398 NA NA NA NA NA NA NA NA NA NA NA NA NA
