"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "" 2003-12-23 23.05 "LAL" "@" "GSW" "L" -9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "" 2003-12-25 23.06 "LAL" "" "HOU" "L" -12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "1" 2003-12-28 23.07 "LAL" "" "BOS" "W" 23 0 4.55 0.333 0.333 0 0 0 0 12.7 0 0 29.3 89 69 0.5 -8.1
"4" "2" 2004-01-02 23.08 "LAL" "@" "SEA" "L" -2 0 2.58333333333333 0 0 41 0 20.8 0 16.5 0 0 14.4 67 87 0.6 -4.6
"5" "3" 2004-01-04 23.08 "LAL" "@" "LAC" "L" -3 0 17.0666666666667 0.773 0.667 10.3 8.3 9.6 28.1 3.2 0 0 9.9 181 109 7.5 4.1
"6" "4" 2004-01-06 23.09 "LAL" "@" "MIN" "L" -16 0 30.0666666666667 0.576 0.538 3.2 13 7.4 0 1.7 2.3 0 20.5 120 113 11 1.2
"7" "5" 2004-01-07 23.09 "LAL" "@" "DEN" "L" -22 0 26.4166666666667 0.225 0.125 3.8 26.9 15.2 6.1 1.8 9.2 10.1 16.3 52 101 3.9 -6.5
"8" "6" 2004-01-09 23.1 "LAL" "" "ATL" "W" 46 0 13.8166666666667 0.466 0.5 8 11.1 9.3 0 0 0 13.4 23.9 90 88 1 -17.2
"9" "7" 2004-01-12 23.11 "LAL" "" "CLE" "W" 10 0 20.1 0.752 0.667 4.2 21.8 12.9 0 5 3.3 10.4 19.9 142 71 13.1 14.8
"10" "8" 2004-01-14 23.11 "LAL" "" "DEN" "W" 26 0 18.5 0.5 0.5 9 31.6 22.3 25.3 3 0 42.9 18.4 77 77 3.5 0.6
"11" "9" 2004-01-16 23.12 "LAL" "@" "SAC" "L" -20 0 26.8833333333333 0.253 0.182 3.9 17.8 9.4 5.7 0 6.6 7.8 22.8 58 115 1.4 -11.6
"12" "10" 2004-01-17 23.12 "LAL" "" "LAC" "W" 2 0 18.5666666666667 0.595 0.6 0 5.7 2.9 18.4 3 7.7 0 15.2 130 97 8 9.9
"13" "11" 2004-01-19 23.13 "LAL" "" "PHO" "L" -3 0 14.9 0.75 0.75 13.3 32.8 22.1 15 0 0 0 12.7 161 99 7.3 6.5
"14" "12" 2004-01-21 23.13 "LAL" "@" "MEM" "L" -6 1 31.2666666666667 0.588 0.625 8.5 23.9 15.5 0 0 0 8.9 15.5 112 97 8.4 0
"15" "13" 2004-01-22 23.13 "LAL" "@" "DAL" "L" -19 0 19.45 0.515 0.333 0 20.9 11 0 0 0 0 9.8 110 123 2.3 -7.2
"16" "14" 2004-02-20 23.21 "LAL" "" "PHI" "W" 28 0 13.1166666666667 0.25 0.25 7.4 28.4 16.6 0 3.9 0 20 15.2 59 89 0.4 -11.7
"17" "15" 2004-02-22 23.22 "LAL" "@" "PHO" "W" 12 0 2.51666666666667 1 1 0 0 0 0 0 36.9 0 23.4 200 85 2.4 27.1
"18" "16" 2004-02-25 23.23 "LAL" "@" "DEN" "W" 1 0 14.3833333333333 0.4 0.4 8.6 41.6 23.5 0 0 5 0 15.2 93 109 2.3 -9.9
"19" "17" 2004-02-26 23.23 "LAL" "" "SAC" "L" -2 1 16.8833333333333 0.507 0.5 12 8.1 10.3 0 0 5.5 0 22.4 116 111 6.6 1.4
"20" "18" 2004-02-28 23.24 "LAL" "@" "WAS" "W" 12 0 12.0333333333333 0.667 0.667 10.8 0 4.6 19 0 0 25 14.6 120 128 3 -4.5
"21" "19" 2004-02-29 23.24 "LAL" "@" "NJN" "W" 17 0 16.5 0.85 0.8 14.6 12.8 13.6 0 0 10 14.5 20 146 87 9.7 10.7
"22" "" 2004-03-02 23.24 "LAL" "@" "ATL" "L" -1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"23" "20" 2004-03-03 23.25 "LAL" "@" "HOU" "W" 3 0 7.91666666666667 0.5 0.5 0 15.2 7.4 16.8 0 0 0 10.5 116 109 0.4 -6.1
"24" "21" 2004-03-05 23.25 "LAL" "" "SEA" "W" 8 0 8.3 0.6 0.6 0 26 12.9 0 0 0 0 26.4 113 105 3.5 -2.8
"25" "22" 2004-03-07 23.26 "LAL" "" "NJN" "W" 6 0 18.3666666666667 0.5 0.5 0 28.4 14 19 0 0 0 15.3 112 95 5.1 1.3
"26" "23" 2004-03-08 23.26 "LAL" "@" "UTA" "L" -5 0 20.8333333333333 0.5 0.5 5.4 12.7 8.8 0 2.5 0 33.3 19.7 66 96 1.5 -6.1
"27" "24" 2004-03-10 23.27 "LAL" "@" "BOS" "W" 8 0 9.96666666666667 0 0 0 20.8 9.9 11.2 4.6 0 0 3.7 66 107 0.4 -4.4
"28" "25" 2004-03-21 23.3 "LAL" "" "MIL" "W" 1 0 2.83333333333333 0 0 0 32.1 18.4 0 16.9 0 0 15.9 0 64 0.6 2.1
"29" "26" 2004-03-24 23.3 "LAL" "" "SAC" "W" 24 0 3.7 0.5 0.5 82.1 32.7 54.5 51.6 0 0 0 27.5 152 92 3 13.5
"30" "27" 2004-03-26 23.31 "LAL" "" "MIN" "W" 17 0 11.3166666666667 0.25 0.25 7.7 22.6 15.2 25.8 4.1 0 0 13.5 88 69 3.2 6.6
"31" "28" 2004-03-28 23.32 "LAL" "" "UTA" "W" 7 0 1.4 NA NA 0 0 0 0 0 0 NA 0 0 113 0 -4.9
"32" "29" 2004-03-30 23.32 "LAL" "" "NOH" "W" 19 0 12 0.833 0.833 22.9 0 10.4 0 4.4 0 0 23 168 99 10.2 15.1
"33" "30" 2004-04-01 23.33 "LAL" "" "HOU" "W" 8 0 1.36666666666667 NA NA 50 53.3 51.6 0 0 0 NA 0 209 89 0.6 -3.1
"34" "31" 2004-04-02 23.33 "LAL" "@" "SEA" "W" 11 0 2.66666666666667 NA NA 0 0 0 0 0 0 100 17.3 0 118 -1 -27
"35" "" 2004-04-04 23.33 "LAL" "" "SAS" "L" -6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"36" "32" 2004-04-06 23.34 "LAL" "" "POR" "L" -11 0 3.05 NA NA 0 50 20.3 0 18.2 25 100 29.7 0 42 0 -5
"37" "" 2004-04-09 23.35 "LAL" "" "MEM" "W" 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"38" "33" 2004-04-11 23.35 "LAL" "@" "SAC" "L" -17 0 2.51666666666667 0 0 64 0 34 0 0 0 0 14.5 81 122 0.3 -16.9
"39" "34" 2004-04-13 23.36 "LAL" "" "GSW" "W" 5 0 1.71666666666667 0 0 0 0 0 0 0 0 0 22.9 0 121 -1.1 -43.2
"40" "35" 2004-04-14 23.36 "LAL" "@" "POR" "W" 1 0 10.25 0.4 0.4 8.5 0 5 0 0 0 0 20.9 95 113 2 -6.3
"1" "1" 2004-11-02 23.92 "LAL" "" "DEN" "W" 11 0 25.2833333333333 0.5 0.5 0 7 3.9 26.7 0 4.9 0 18.1 110 91 8.7 6
"2" "2" 2004-11-03 23.92 "LAL" "@" "UTA" "L" -26 0 16.7166666666667 0.255 0.2 0 16.1 7.1 0 0 0 0 16.4 61 124 -1.5 -14.3
"3" "3" 2004-11-05 23.92 "LAL" "" "SAS" "L" -9 0 12.5 0.436 0.333 0 30.8 17 15 0 0 0 23.8 112 113 3.7 -2.9
"4" "4" 2004-11-07 23.93 "LAL" "" "ATL" "W" 16 0 6.16666666666667 0.75 0.75 30.8 35.6 33.8 27.6 0 0 33.3 24.6 119 98 3 9.7
"5" "5" 2004-11-09 23.93 "LAL" "@" "NOH" "W" 8 0 8.01666666666667 0 0 0 25 16 0 0 0 25 23.8 0 105 -2.9 -29
"6" "6" 2004-11-10 23.94 "LAL" "@" "MEM" "L" -23 0 18.2833333333333 0.75 0.75 5.6 5.6 5.6 15.4 3 4 0 15.2 156 120 8.6 9.8
"7" "7" 2004-11-12 23.94 "LAL" "@" "ORL" "L" -9 0 11.5166666666667 0 0 11.2 20.3 16 0 4.6 6.6 20 20.9 19 115 -1.2 -17.3
"8" "8" 2004-11-13 23.95 "LAL" "@" "HOU" "W" 5 0 15.55 0.654 0.583 7.6 21.3 14.7 0 0 5.5 0 22.1 137 86 6.3 6.2
"9" "9" 2004-11-17 23.96 "LAL" "" "LAC" "W" 14 0 24.6 0.466 0.458 17.9 8 12 0 0 0 13.4 27.3 91 107 5.5 -10.1
"10" "10" 2004-11-19 23.96 "LAL" "@" "PHO" "L" -5 0 21.4666666666667 0.917 0.917 5.2 13.4 9.6 7.7 2.5 3.4 14.3 14.8 158 114 9.8 11.6
"11" "11" 2004-11-21 23.97 "LAL" "" "CHI" "W" 9 0 9.11666666666667 0.333 0.333 0 27.4 12.5 18 0 0 0 14.3 100 104 0.4 -8.1
"12" "12" 2004-11-23 23.97 "LAL" "" "MIL" "W" 4 0 18.1666666666667 0.643 0.643 11.8 13 12.3 0 0 0 0 18 134 111 6.5 -1
"13" "13" 2004-11-26 23.98 "LAL" "" "SAC" "L" -3 0 26.2666666666667 0.508 0.462 8.6 17.6 13 0 0 2.7 6.3 25.6 111 119 8.2 -2.7
"14" "14" 2004-11-28 23.99 "LAL" "" "NOH" "W" 13 0 18.6833333333333 0.714 0.714 0 5.9 3.2 0 0 3.6 0 17.2 138 97 6.5 6.8
"15" "15" 2004-11-30 23.99 "LAL" "@" "MIL" "W" 5 0 32.4833333333333 0.893 0.893 24.4 15.4 20.1 0 1.7 0 0 20.8 178 103 25.9 19.7
"16" "16" 2004-12-01 23.99 "LAL" "@" "CHI" "L" -8 0 31.3 0.583 0.583 3.7 19.1 11.9 17 3.3 0 0 9.1 131 97 9 5
"17" "17" 2004-12-03 24 "LAL" "" "GSW" "W" 9 0 29.7166666666667 0.631 0.591 7.5 6.9 7.2 6 1.8 2.5 7.8 19.4 126 95 10.3 4.2
"18" "18" 2004-12-08 24.01 "LAL" "" "PHO" "L" -3 0 24.15 0.471 0.471 0 9.3 4.3 0 0 0 5.6 30.2 101 127 4.1 -10
"19" "19" 2004-12-11 24.02 "LAL" "@" "LAC" "W" 2 0 34.5833333333333 0.68 0.6 11.4 5.8 8.2 0 1.7 1.9 0 8.3 163 105 8.9 3.6
"20" "20" 2004-12-12 24.02 "LAL" "" "ORL" "W" 7 0 6.56666666666667 0 0 0 0 0 0 0 0 0 19 0 121 -2.9 -34.9
"21" "21" 2004-12-14 24.03 "LAL" "@" "SEA" "L" -15 0 20.1333333333333 0.25 0.25 0 0 0 0 0 4.2 0 13.3 66 128 -0.5 -8.9
"22" "22" 2004-12-16 24.03 "LAL" "@" "SAC" "W" 16 0 24.4 0.6 0.6 11.8 20.8 17.1 0 0 0 0 20 130 109 9.5 3.1
"23" "23" 2004-12-17 24.04 "LAL" "" "WAS" "L" -4 0 37.6333333333333 0.689 0.65 3.4 10.2 6.8 4.4 0 0 8.4 14.8 137 124 10.1 0.4
"24" "24" 2004-12-20 24.04 "LAL" "" "MEM" "L" -10 0 16.9166666666667 0.429 0.429 0 27.8 14.7 0 0 0 0 20 85 98 2.2 -4.3
"25" "25" 2004-12-22 24.05 "LAL" "" "NOH" "W" 12 0 8.35 0.286 0.286 39.1 0 17.1 0 0 0 0 36.8 95 109 1.6 -14.4
"26" "26" 2004-12-25 24.06 "LAL" "" "MIA" "L" -2 0 13.35 0.25 0.25 0 15.7 8.2 0 0 0 0 13.4 53 111 -0.2 -10.7
"27" "27" 2004-12-28 24.07 "LAL" "" "TOR" "W" 18 0 19.3666666666667 0.354 0.333 23 9.9 16 15.8 2.6 3.2 0 21.8 116 102 6.8 1.7
"28" "28" 2005-01-02 24.08 "LAL" "" "DEN" "W" 8 0 12.3 0.347 0 0 0 0 23.5 4.1 0 0 20.1 99 97 2.8 0.9
"29" "29" 2005-01-04 24.08 "LAL" "@" "SAS" "L" -17 0 13.3 0.333 0.333 8.4 30.5 19.9 0 0 0 0 20.8 79 112 2.1 -7.3
"30" "30" 2005-01-05 24.09 "LAL" "@" "DAL" "L" -14 0 7.61666666666667 1.125 1.125 19.8 29.6 23.7 0 0 24.2 0 18.9 206 106 10.7 50.3
"31" "31" 2005-01-07 24.09 "LAL" "" "HOU" "W" 7 0 10.6833333333333 1 1 0 10.9 5.9 16.2 0 0 0 18.4 182 118 7 18.5
"32" "32" 2005-01-10 24.1 "LAL" "@" "MIN" "W" 9 0 18.3333333333333 0.667 0.667 6.5 6.6 6.6 8.9 2.8 3.9 0 14.2 150 99 7.2 8.4
"33" "33" 2005-01-12 24.11 "LAL" "@" "DEN" "L" -12 0 9.81666666666667 0 0 22.2 27.4 24.5 19 0 0 0 41 23 107 -3.3 -27.7
"34" "34" 2005-01-13 24.11 "LAL" "" "CLE" "W" 4 0 14.3 0.5 0.5 6.9 27.1 15.6 13.1 0 0 14.3 21.2 101 105 3.9 1.5
"35" "35" 2005-01-15 24.12 "LAL" "@" "GSW" "W" 2 0 23.3 0.583 0.583 0 8.3 4.1 0 2.2 3.3 0 11.1 127 109 5.1 -1.1
"36" "36" 2005-01-17 24.12 "LAL" "" "UTA" "L" -8 0 20.7833333333333 0.688 0.688 12 37.2 25.4 11 0 3.1 0 17.1 141 105 11.1 10.2
"37" "37" 2005-01-19 24.13 "LAL" "" "MIN" "W" 3 0 9.56666666666667 0.255 0.2 13.2 0 5.5 0 0 0 25.4 36.3 49 113 -1.8 -28.4
"38" "38" 2005-01-21 24.13 "LAL" "" "GSW" "W" 4 0 19.4 0.394 0.375 10.9 17.1 14 0 0 3.9 18.4 24.6 78 112 2 -12.8
"39" "39" 2005-01-25 24.14 "LAL" "" "SEA" "L" -11 0 10.2833333333333 0.417 0.417 0 0 0 19.7 0 0 14.3 35.1 78 136 0.9 -11.7
"40" "40" 2005-01-26 24.15 "LAL" "@" "LAC" "L" -16 0 26.1666666666667 0.7 0.7 9.1 8 8.5 8.9 2 2.4 16.7 21.8 117 109 10.2 4.7
"41" "41" 2005-01-28 24.15 "LAL" "" "NJN" "L" -6 0 16.3166666666667 0.307 0.25 12.8 33.3 21.7 0 0 0 0 12.6 100 123 1.6 -11.4
"42" "42" 2005-01-30 24.16 "LAL" "" "CHA" "W" 11 0 15.0333333333333 0.929 0.929 8 36.9 24.3 0 0 0 0 22.1 166 89 11.8 18.1
"43" "43" 2005-02-01 24.16 "LAL" "" "POR" "W" 13 0 14.35 0.7 0.7 0 27.8 14.9 0 0 0 0 15.9 132 90 5.9 4.3
"44" "44" 2005-02-03 24.17 "LAL" "" "SAS" "L" -12 0 17.1166666666667 0.833 0.833 7.8 6.4 7.1 0 0 0 14.3 20.1 137 126 5.4 1
"45" "45" 2005-02-06 24.18 "LAL" "@" "HOU" "L" -1 0 19.0166666666667 0.318 0.318 0 19.8 11.2 8.3 0 0 0 25.2 91 113 1.6 -10.4
"46" "46" 2005-02-07 24.18 "LAL" "@" "ATL" "L" -6 0 30.85 0.722 0.722 4.3 29 18.4 5.9 1.5 1.9 18.2 15.4 119 108 11.3 3.6
"47" "47" 2005-02-09 24.18 "LAL" "@" "NJN" "W" 1 0 16.85 0.375 0.375 0 0 0 0 0 0 0 10.9 88 115 0.6 -7.1
"48" "48" 2005-02-10 24.19 "LAL" "@" "DET" "L" -22 0 17.95 0.375 0.375 12.5 17.3 15 12 0 0 0 22.8 93 121 3.8 -6.9
"49" "49" 2005-02-13 24.19 "LAL" "@" "CLE" "L" -14 0 13.8666666666667 1 1 0 9.5 4.3 0 0 0 16.7 20 133 122 6.6 8.7
"50" "50" 2005-02-15 24.2 "LAL" "" "UTA" "W" 7 0 13.4166666666667 0 0 0 17.6 8.9 0 0 4.7 33.3 10.4 0 110 -2.7 -20.5
"51" "51" 2005-02-22 24.22 "LAL" "" "BOS" "W" 9 0 11.65 0.717 0.625 9.5 21.8 15.2 17.3 4.8 0 29.1 26.6 114 101 6 8.9
"52" "52" 2005-02-23 24.22 "LAL" "@" "POR" "W" 3 0 12.9 0.25 0.25 0 0 0 0 4.4 0 0 14.7 57 102 0.2 -7.5
"53" "53" 2005-02-25 24.23 "LAL" "" "DET" "L" -21 0 8.48333333333333 0.333 0.333 15 0 7.6 21.4 0 0 0 18.6 100 136 1.3 -7.4
"54" "54" 2005-02-27 24.23 "LAL" "@" "TOR" "L" -6 0 7.25 0 0 17.1 47.8 33 0 0 0 0 20 28 113 -0.5 -19
"55" "" 2005-02-28 24.24 "LAL" "@" "NYK" "L" -2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"56" "55" 2005-03-02 24.24 "LAL" "@" "BOS" "L" -3 0 10.2333333333333 0.6 0.6 0 30 16 17.5 0 11.9 0 22.6 129 98 5.5 16.4
"57" "56" 2005-03-04 24.25 "LAL" "" "DAL" "W" 5 0 5.86666666666667 1 1 0 0 0 0 8.6 10.7 0 7.4 200 94 2.6 12
"58" "" 2005-03-06 24.25 "LAL" "" "IND" "W" 9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"59" "57" 2005-03-08 24.26 "LAL" "" "LAC" "L" -9 0 3.31666666666667 NA NA 0 0 0 0 0 0 NA 0 0 140 -0.4 -14.1
"60" "" 2005-03-10 24.26 "LAL" "@" "DAL" "W" 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"61" "58" 2005-03-12 24.27 "LAL" "@" "CHA" "W" 1 0 6.95 0 0 0 23.5 11.1 18.6 0 0 0 7.9 70 130 -0.1 -10.6
"62" "59" 2005-03-14 24.27 "LAL" "@" "WAS" "L" -14 0 6.43333333333333 0.25 0.25 0 0 0 0 0 0 0 28.8 62 119 -0.8 -18.1
"63" "60" 2005-03-15 24.28 "LAL" "@" "PHI" "L" -17 0 14.1666666666667 0.5 0.5 0 17.6 7.4 17.8 7.2 0 9.1 32.9 92 102 6.5 8.6
"64" "61" 2005-03-17 24.28 "LAL" "@" "MIA" "L" -13 0 8.88333333333333 1.289 1.5 0 12.7 6.2 31.4 5.9 0 0 18.9 230 106 9.9 44.2
"65" "62" 2005-03-18 24.28 "LAL" "@" "IND" "L" -6 0 4.56666666666667 0 0 18.1 0 11 25.3 0 0 0 18.3 57 128 0 -12.2
"66" "63" 2005-03-20 24.29 "LAL" "" "SEA" "L" -2 0 5.51666666666667 0.568 NA 0 28.2 12.8 0 0 0 0 8.1 123 117 0.1 -10.9
"67" "64" 2005-03-22 24.3 "LAL" "@" "UTA" "L" -8 0 6.86666666666667 0 0 0 0 0 0 16.1 12.2 33.3 20.6 0 103 -0.1 -10.2
"68" "" 2005-03-24 24.3 "LAL" "@" "DEN" "L" -21 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"69" "65" 2005-04-03 24.33 "LAL" "@" "MEM" "L" -20 0 16.6666666666667 0.438 0.438 5.9 30 17.8 0 3.1 0 11.1 24.7 81 101 2.4 -6.4
"70" "66" 2005-04-05 24.33 "LAL" "@" "PHO" "L" -26 0 8.13333333333333 0.5 0.5 0 0 0 0 0 0 33.3 15.9 65 142 -0.4 -17.1
"71" "67" 2005-04-07 24.34 "LAL" "" "HOU" "L" -14 0 3.33333333333333 0 0 0 0 0 0 0 0 0 29.3 0 134 -1.4 -32.2
"72" "68" 2005-04-08 24.34 "LAL" "@" "SEA" "W" 23 0 1.08333333333333 1.5 1.5 0 0 0 0 0 0 0 47.7 300 122 2.7 98.5
"73" "69" 2005-04-10 24.35 "LAL" "@" "SAC" "L" -19 0 8.7 0.5 0.5 0 12.1 5.7 25.4 0 0 0 28.7 103 135 3.6 -4
"74" "" 2005-04-11 24.35 "LAL" "" "PHO" "L" -11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"75" "70" 2005-04-15 24.36 "LAL" "" "SAC" "L" -9 0 2.9 0.333 0.333 0 39 20 0 0 0 0 42.4 77 116 0.6 -16.7
"76" "" 2005-04-17 24.37 "LAL" "" "DAL" "L" -2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"77" "71" 2005-04-18 24.37 "LAL" "@" "GSW" "L" -27 0 19.8666666666667 0.658 0.643 7.9 17.1 11.7 0 0 0 0 27.9 144 133 13.9 8.4
"78" "72" 2005-04-20 24.38 "LAL" "@" "POR" "L" -3 0 6.26666666666667 0 0 0 80.7 36.6 0 0 0 0 18.7 0 111 -1.3 -25.1
"1" "1" 2005-11-02 24.91 "LAL" "@" "DEN" "W" 2 0 12.3666666666667 0.6 0.6 0 0 0 18.5 0 0 28.6 25.4 79 97 1.6 -6
"2" "2" 2005-11-03 24.92 "LAL" "" "PHO" "L" -10 0 5.76666666666667 0.5 0.5 21.3 0 10.3 0 0 0 0 14.8 123 128 0.5 -12.1
"3" "3" 2005-11-06 24.92 "LAL" "" "DEN" "W" 20 0 7.38333333333333 1 1 0 0 0 44.8 6.7 0 50 22.7 100 90 3.8 13.5
"4" "4" 2005-11-08 24.93 "LAL" "@" "ATL" "W" 6 0 15.1 0.7 0.7 17.2 0 8.8 11.2 3.3 5.3 28.6 21.9 108 101 5.3 1
"5" "5" 2005-11-09 24.93 "LAL" "@" "MIN" "L" -14 0 15.05 0.5 0.5 0 8.2 4.1 0 0 0 20 16.4 77 109 0.9 -7.8
"6" "6" 2005-11-11 24.94 "LAL" "@" "PHI" "L" -4 0 1.51666666666667 0 0 0 0 0 0 73.2 0 0 30.1 0 -55 1.3 54.1
"7" "7" 2005-11-14 24.95 "LAL" "@" "MEM" "L" -12 0 17.0166666666667 0.286 0.286 12 23.5 17.8 0 0 4.2 0 19 77 95 2.4 -4.4
"8" "8" 2005-11-16 24.95 "LAL" "" "NYK" "W" 5 0 12.8166666666667 1 1 10.7 23.9 18.3 12.3 0 0 33.3 10.1 128 104 3.5 -1.6
"9" "9" 2005-11-18 24.96 "LAL" "" "LAC" "L" -6 0 21.4833333333333 0.595 0.6 8.9 13.1 10.6 8.5 2.5 0 0 12.3 132 106 6.4 0.9
"10" "10" 2005-11-20 24.96 "LAL" "" "CHI" "L" -3 0 21.65 0.509 0.5 5 15.8 10.3 16.8 0 0 0 14.8 118 108 5.8 -0.9
"11" "11" 2005-11-24 24.97 "LAL" "" "SEA" "W" 12 1 38.8666666666667 0.666 0.636 8.4 12 10.2 13.1 1.4 2.5 0 14.7 155 107 17.6 6.5
"12" "12" 2005-11-27 24.98 "LAL" "" "NJN" "L" -6 1 34.2 0.513 0.455 12.5 8.9 11.2 12.8 1.5 2.2 0 16.7 129 103 13.1 7.3
"13" "13" 2005-11-29 24.99 "LAL" "@" "SAS" "L" -6 1 17.1166666666667 0 0 4.9 21 11.6 17 3.1 0 12.5 20 19 95 -3.5 -16.4
"14" "14" 2005-12-01 24.99 "LAL" "@" "UTA" "W" 4 1 14.7666666666667 0.615 0.5 15.6 7.8 11.7 13.4 3.9 0 0 15.8 153 107 5.4 3.7
"15" "15" 2005-12-02 24.99 "LAL" "" "MIN" "L" -5 1 34.6666666666667 0.535 0.5 31.3 4.9 18.8 12.6 0 2.3 10.1 26.4 129 137 15 -3.5
"16" "16" 2005-12-04 25 "LAL" "" "CHA" "W" 1 1 29.8833333333333 0.611 0.611 14.3 12 13.2 5.7 1.9 2.4 0 13.2 153 114 12 4
"17" "17" 2005-12-06 25.01 "LAL" "@" "MIL" "W" 19 0 13.4166666666667 0 0 26.2 18.8 22.6 0 0 0 0 16.3 48 106 -1.2 -19.4
"18" "18" 2005-12-07 25.01 "LAL" "@" "TOR" "W" 11 0 26.3833333333333 0.571 0.571 0 7.7 4.5 0 0 0 0 12.4 117 106 2.9 -8.5
"19" "19" 2005-12-09 25.01 "LAL" "@" "CHI" "W" 13 1 26.0833333333333 0.727 0.727 4.7 8.6 6.7 23.7 0 0 21.4 25.6 111 97 9.5 1.1
"20" "20" 2005-12-10 25.02 "LAL" "@" "MIN" "L" -13 1 21.1 0.333 0.333 0 25.3 12.1 0 0 3.3 14.3 17.3 59 116 1.1 -8.9
"21" "21" 2005-12-12 25.02 "LAL" "@" "DAL" "W" 3 1 16.7333333333333 0.532 0 0 0 0 0 3.3 0 21 13.8 94 125 1 -8.8
"22" "22" 2005-12-14 25.03 "LAL" "@" "MEM" "W" 15 0 5.48333333333333 0.5 0.5 0 0 0 0 0 14.1 0 17.3 109 90 1.3 2.2
"23" "23" 2005-12-16 25.03 "LAL" "" "WAS" "W" 6 1 21.15 0.527 0.25 12.6 5.5 8.8 14.3 5.2 0 23.1 19.6 107 101 6.5 1.4
"24" "24" 2005-12-18 25.04 "LAL" "" "HOU" "L" -2 1 13.4166666666667 0.665 0.5 8.7 44.7 26.5 16.7 0 0 0 14.3 154 90 6.1 7.3
"25" "25" 2005-12-20 25.04 "LAL" "" "DAL" "W" 22 1 16 1 1 0 11.3 7.1 9.1 0 3.9 0 2.7 205 93 1.3 -1.1
"26" "26" 2005-12-23 25.05 "LAL" "@" "ORL" "W" 16 1 20.5333333333333 0.711 0.688 0 5.2 2.8 9.6 2.6 3.4 10.6 22.3 121 101 9.7 8.1
"27" "27" 2005-12-25 25.06 "LAL" "@" "MIA" "L" -5 1 20.8666666666667 0.759 0.722 9 0 4.8 0 0 6.8 9.2 21.5 140 107 12.5 13.7
"28" "28" 2005-12-26 25.06 "LAL" "@" "WAS" "L" -3 1 27.15 0.8 0.8 0 24.8 13.3 0 2 0 16.7 10.1 123 99 7 1.1
"29" "" 2005-12-28 25.07 "LAL" "" "MEM" "L" -1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"30" "29" 2006-01-01 25.08 "LAL" "" "UTA" "L" -4 1 39.25 0.808 0.8 6.3 3.3 4.8 4.3 0 2 7.8 16.1 151 122 15.7 1.3
"31" "30" 2006-01-03 25.08 "LAL" "@" "UTA" "L" -10 1 14.9166666666667 0.34 0.2 0 10.4 4.8 0 3.8 5.5 14.5 22.9 66 103 0.3 -11.3
"32" "31" 2006-01-06 25.09 "LAL" "" "PHI" "W" 26 0 7.91666666666667 0.902 1 18.9 0 8.1 0 0 0 0 21.4 181 104 6 9.1
"33" "32" 2006-01-07 25.09 "LAL" "@" "LAC" "W" 3 0 19.4 0.81 0.778 5.9 14.1 9.6 0 0 0 0 21.7 170 123 12.6 11.3
"34" "33" 2006-01-09 25.1 "LAL" "" "IND" "W" 6 0 15.7333333333333 0.25 0.25 0 17.9 9.2 0 0 0 0 11.7 54 98 0.1 -8.8
"35" "34" 2006-01-11 25.1 "LAL" "@" "POR" "L" -10 0 16.5666666666667 0.556 0.556 0 7.6 3.9 0 0 0 10 28.2 96 129 4.6 -7.8
"36" "35" 2006-01-12 25.11 "LAL" "" "CLE" "W" 1 0 2.76666666666667 NA NA 54.2 0 28.9 0 0 0 NA 0 211 125 0.7 -0.9
"37" "36" 2006-01-14 25.11 "LAL" "@" "GSW" "W" 6 0 4.28333333333333 NA NA 0 0 0 0 0 0 NA 0 0 120 0 -6.1
"38" "37" 2006-01-16 25.12 "LAL" "" "MIA" "W" 8 0 10.3833333333333 0.5 0.5 0 9.6 5.5 0 0 0 0 19.5 99 111 0.7 -11.2
"39" "38" 2006-01-19 25.13 "LAL" "@" "SAC" "L" -9 0 5.5 0 0 41.9 0 20.9 0 0 0 0 33 37 123 -2.2 -37
"40" "39" 2006-01-20 25.13 "LAL" "@" "PHO" "L" -13 0 12.6666666666667 0.625 0.625 0 10.5 4.6 41.5 0 0 20 17.6 113 119 4 5.8
"41" "40" 2006-01-22 25.13 "LAL" "" "TOR" "W" 18 0 7.88333333333333 1 1 29.7 16.5 23.4 17 0 0 50 10.5 127 116 2.7 0.1
