"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 2006-11-01 21.49 "TOR" "@" "NJN" "L" -10 0 8.1 0.399 0 11.9 44.4 26.3 0 5.6 0 21 23.9 77 85 2.4 -1.4
"2" "2" 2006-11-03 21.5 "TOR" "" "MIL" "W" 17 0 3.2 0 0 0 0 0 0 0 0 0 14 0 108 -1.1 -25.9
"3" "" 2006-11-05 21.5 "TOR" "" "SAS" "L" -9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "" 2006-11-08 21.51 "TOR" "" "PHI" "W" 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "3" 2006-11-10 21.52 "TOR" "" "ATL" "L" -9 0 0.266666666666667 NA NA 0 0 0 0 0 0 NA 0 0 120 0 -7
"6" "4" 2006-11-12 21.52 "TOR" "@" "SAC" "L" -15 0 4.48333333333333 NA NA 0 0 0 0 0 0 100 9.7 0 117 -1.4 -20.3
"7" "5" 2006-11-14 21.53 "TOR" "@" "GSW" "L" -11 0 1.1 NA NA 0 0 0 0 0 0 NA 0 0 121 0 -5.1
"8" "" 2006-11-17 21.54 "TOR" "@" "LAL" "L" -7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "" 2006-11-18 21.54 "TOR" "@" "DEN" "L" -8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "" 2006-11-20 21.55 "TOR" "@" "UTA" "L" -5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "" 2006-11-22 21.55 "TOR" "" "CLE" "W" 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "" 2006-11-24 21.56 "TOR" "@" "ATL" "L" -4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "" 2006-11-26 21.56 "TOR" "" "IND" "W" 9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" "6" 2006-11-28 21.57 "TOR" "@" "NOK" "W" 17 0 2.68333333333333 0 0 0 0 0 0 0 0 0 17.7 0 103 -0.7 -21.6
"15" "7" 2006-11-29 21.57 "TOR" "@" "DAL" "L" -19 0 4.78333333333333 0.333 0.333 21.8 0 12.1 0 0 0 25 39.8 65 136 0 -19.7
"16" "" 2006-12-01 21.58 "TOR" "" "BOS" "W" 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" "" 2006-12-02 21.58 "TOR" "@" "NYK" "W" 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" "" 2006-12-06 21.59 "TOR" "@" "CLE" "L" -4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"19" "" 2006-12-08 21.59 "TOR" "@" "CHI" "L" -3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"20" "8" 2006-12-10 21.6 "TOR" "" "POR" "L" -10 0 4.15 1 1 21.8 0 12.9 0 0 0 0 11.7 206 116 2 4.8
"21" "9" 2006-12-11 21.6 "TOR" "@" "MIA" "L" -22 0 2.28333333333333 NA NA 0 0 0 0 0 0 100 20.8 0 105 -1 -26.5
"22" "" 2006-12-13 21.61 "TOR" "@" "ORL" "W" 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"23" "" 2006-12-15 21.61 "TOR" "" "NJN" "W" 12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"24" "10" 2006-12-17 21.62 "TOR" "" "GSW" "W" 5 0 0.5 NA NA 0 0 0 0 0 0 NA 0 0 123 0 -7
"25" "11" 2006-12-19 21.62 "TOR" "@" "PHO" "L" -17 0 19.5 0.676 0.625 20.1 31.6 25.2 0 0 0 0 18.8 149 117 11.9 7.5
"26" "12" 2006-12-20 21.63 "TOR" "@" "LAC" "W" 2 0 9.85 0.615 0.5 25.6 34.8 30.5 53.9 0 0 29.1 16.9 131 105 4.6 9.4
"27" "13" 2006-12-22 21.63 "TOR" "@" "POR" "W" 1 0 4.63333333333333 0.532 1 0 0 0 0 0 0 0 19.4 92 107 0.1 -9.4
"28" "14" 2006-12-23 21.64 "TOR" "@" "SEA" "L" -13 0 1.75 NA NA 0 0 0 0 0 0 NA 0 0 124 0 -7.8
"29" "" 2006-12-27 21.65 "TOR" "" "MIN" "W" 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"30" "" 2006-12-29 21.65 "TOR" "" "CHI" "L" -10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"31" "15" 2006-12-30 21.65 "TOR" "@" "MEM" "L" -6 0 0.516666666666667 NA NA 0 0 0 0 0 0 NA 0 0 120 0 -7.9
"32" "16" 2007-01-03 21.67 "TOR" "" "PHO" "L" -2 0 3.61666666666667 NA NA 0 0 0 0 0 0 NA 0 0 115 0 -6.8
"33" "" 2007-01-05 21.67 "TOR" "" "ATL" "W" 13 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"34" "" 2007-01-07 21.68 "TOR" "" "WAS" "W" 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"35" "" 2007-01-09 21.68 "TOR" "@" "NJN" "L" -15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"36" "" 2007-01-10 21.68 "TOR" "@" "MIL" "W" 13 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"37" "" 2007-01-12 21.69 "TOR" "@" "BOS" "W" 9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"38" "" 2007-01-14 21.7 "TOR" "" "DAL" "L" -1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"39" "" 2007-01-15 21.7 "TOR" "@" "PHI" "W" 18 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"40" "" 2007-01-17 21.7 "TOR" "" "SAC" "W" 16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"41" "" 2007-01-19 21.71 "TOR" "" "UTA" "L" -8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"42" "" 2007-01-22 21.72 "TOR" "" "CHA" "W" 21 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"43" "" 2007-01-26 21.73 "TOR" "" "BOS" "W" 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"44" "" 2007-01-27 21.73 "TOR" "@" "IND" "L" -18 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"45" "" 2007-01-31 21.74 "TOR" "" "WAS" "W" 10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"46" "" 2007-02-02 21.75 "TOR" "@" "ATL" "W" 12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"47" "" 2007-02-04 21.75 "TOR" "" "LAC" "W" 12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"48" "" 2007-02-09 21.77 "TOR" "" "LAL" "W" 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"49" "" 2007-02-10 21.77 "TOR" "@" "DET" "L" -6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"50" "" 2007-02-13 21.78 "TOR" "@" "CHI" "W" 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"51" "" 2007-02-14 21.78 "TOR" "" "NJN" "W" 11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"52" "" 2007-02-21 21.8 "TOR" "" "CLE" "L" -1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"53" "" 2007-02-24 21.81 "TOR" "@" "CHA" "W" 17 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"54" "" 2007-02-26 21.81 "TOR" "@" "SAS" "L" -16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"55" "" 2007-02-28 21.82 "TOR" "@" "HOU" "W" 16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"56" "17" 2007-03-03 21.83 "TOR" "@" "CLE" "L" -23 0 12 0.577 0.667 14.8 8.9 12.1 0 4.1 0 16.1 21.2 104 119 4.4 -1
"57" "" 2007-03-06 21.84 "TOR" "@" "WAS" "L" -20 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"58" "" 2007-03-11 21.85 "TOR" "" "SEA" "W" 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"59" "" 2007-03-12 21.85 "TOR" "@" "MIL" "W" 15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"60" "" 2007-03-14 21.86 "TOR" "" "NYK" "W" 10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"61" "" 2007-03-16 21.86 "TOR" "" "HOU" "L" -14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"62" "" 2007-03-18 21.87 "TOR" "@" "NYK" "L" -18 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"63" "" 2007-03-21 21.88 "TOR" "" "ORL" "W" 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"64" "" 2007-03-23 21.88 "TOR" "" "DEN" "W" 27 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"1" "1" 2012-10-31 27.49 "PHO" "" "GSW" "L" -2 0 23.0666666666667 0.556 0.556 9.7 0 4.5 0 2.2 3 10 19.3 105 100 7 1.8
"2" "2" 2012-11-02 27.5 "PHO" "" "DET" "W" 3 0 9.41666666666667 0.5 0.5 11.6 10.8 11.2 0 0 0 0 9.3 126 102 2 -1.1
"3" "3" 2012-11-04 27.5 "PHO" "@" "ORL" "L" -21 0 7.7 0.266 0 0 15.2 6.9 0 6.6 0 0 10.2 66 111 0.8 -6.3
"4" "4" 2012-11-05 27.5 "PHO" "@" "MIA" "L" -25 0 13.7833333333333 0.34 0.2 6.7 9.9 8 11 0 5.8 25.4 24.6 65 127 -0.3 -16.8
"5" "5" 2012-11-07 27.51 "PHO" "@" "CHA" "W" 7 0 12.4666666666667 0.725 1 16.7 9 13 9.8 4.2 5.9 0 9.1 164 116 5.8 5.2
"6" "6" 2012-11-09 27.52 "PHO" "" "CLE" "W" 2 0 24.45 0.571 0.571 18.7 15.1 17 19.5 4 0 22.2 15.7 114 105 8.9 1.4
"7" "7" 2012-11-10 27.52 "PHO" "@" "UTA" "L" -13 0 24.05 0.667 0.667 3.8 16.2 9 7.1 0 0 0 5.7 145 107 4.2 -3
"8" "8" 2012-11-12 27.52 "PHO" "" "DEN" "W" 10 0 8.35 NA NA 11.7 16.9 13.9 13.4 0 0 NA 0 216 116 1.7 0.4
"9" "9" 2012-11-14 27.53 "PHO" "" "CHI" "L" -6 0 28.75 0.6 0.6 25.3 4 15.2 15.2 1.9 2.4 16.7 8.9 139 116 10.9 6
"10" "10" 2012-11-16 27.53 "PHO" "@" "LAL" "L" -12 0 9.95 0.41 0.5 0 33.7 16.8 0 0 0 0 10.4 82 117 1.5 -7.5
"11" "11" 2012-11-17 27.54 "PHO" "" "MIA" "L" -9 0 17.0666666666667 0.532 0 6.9 0 3.8 0 0 0 0 5.1 138 112 0.4 -8.8
"12" "12" 2012-11-21 27.55 "PHO" "" "POR" "W" 27 0 26.55 0.739 0.786 0 8.8 5.4 0 2 0 0 13.7 147 101 8.9 2
"13" "13" 2012-11-23 27.55 "PHO" "" "NOH" "W" 3 0 33.5166666666667 0.735 0.75 3.5 30.6 14.6 13.1 0 0 0 14.9 156 118 15.2 5.3
"14" "14" 2012-11-25 27.56 "PHO" "@" "PHI" "L" -3 0 15.7 0 0 17 8 12.4 7.8 0 0 50 5.9 72 118 -0.5 -11.1
"15" "15" 2012-11-27 27.56 "PHO" "@" "CLE" "W" 13 0 19.25 0.258 0 6.6 21.7 14.8 13.5 2.7 0 0 9.5 92 82 4.2 -0.2
"16" "16" 2012-11-28 27.57 "PHO" "@" "DET" "L" -40 0 26.2666666666667 0.21 0 0 21.5 8.9 0 2 6.1 17.4 9.6 40 120 0.5 -8.8
"17" "17" 2012-11-30 27.57 "PHO" "@" "TOR" "L" -4 0 12.4833333333333 0 0 0 28.8 15.4 20.8 0 0 66.7 11.6 32 111 -0.4 -11.2
"18" "18" 2012-12-02 27.58 "PHO" "@" "NYK" "L" -7 0 25.7 0.833 0.833 4.9 14.9 10.6 12.6 2.1 0 0 10.6 176 116 11.3 8.7
"19" "19" 2012-12-04 27.58 "PHO" "@" "MEM" "L" -10 0 23.2166666666667 0.725 0 15.6 18 16.7 12 2.3 0 0 5.9 183 110 7.9 4.7
"20" "20" 2012-12-06 27.59 "PHO" "" "DAL" "L" -3 0 14.8 0.5 0.5 0 16.2 7.5 0 0 0 28.6 21 68 112 0.9 -10.5
"21" "" 2012-12-08 27.59 "PHO" "@" "LAC" "L" -18 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"22" "" 2012-12-09 27.6 "PHO" "" "ORL" "L" -8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"23" "21" 2012-12-12 27.61 "PHO" "" "MEM" "W" 2 0 9.66666666666667 0 0 0 28.4 11.8 0 0 0 50 18.9 0 101 -3.2 -28.6
"24" "22" 2012-12-14 27.61 "PHO" "" "UTA" "W" 15 0 15.35 0.563 0.625 7.1 20.4 13.9 14 3.5 0 10.1 29.5 101 89 7.1 2.1
"25" "23" 2012-12-17 27.62 "PHO" "" "SAC" "W" 11 0 14.3666666666667 0.75 0.75 0 6.8 3.8 10.8 0 4.8 0 13.6 148 104 5.3 2.3
"26" "24" 2012-12-19 27.62 "PHO" "" "CHA" "W" 17 0 14.0166666666667 0.833 0.833 9.3 9 9.1 11.5 0 0 0 20.4 173 122 9.5 6.4
"27" "25" 2012-12-22 27.63 "PHO" "@" "POR" "L" -3 0 14.3 0.5 0.5 7.5 31.5 17.4 0 3.8 0 0 19.4 107 101 4.8 -1.1
"28" "26" 2012-12-23 27.64 "PHO" "" "LAC" "L" -26 0 14.4833333333333 1 1 0 0 0 0 0 0 0 3.2 200 118 0.9 -7.4
"29" "27" 2012-12-26 27.64 "PHO" "" "NYK" "L" -2 0 10.5 0 0 0 10.9 5.8 12 0 0 0 8.9 28 111 -0.8 -11.8
"30" "28" 2012-12-28 27.65 "PHO" "@" "IND" "L" -6 0 15.1666666666667 NA NA 0 7.4 3.7 0 0 0 NA 0 0 116 -0.5 -8.3
"31" "29" 2012-12-29 27.65 "PHO" "@" "MIN" "L" -4 0 18.85 0.5 0.5 15 11.1 13.1 6 0 0 33.3 6.8 109 117 1.8 -9.5
"32" "30" 2012-12-31 27.66 "PHO" "@" "OKC" "L" -18 1 40.1166666666667 0.438 0.438 3.1 13.3 8.5 0 0 0 0 9.7 100 133 3.2 -6.9
"33" "31" 2013-01-02 27.66 "PHO" "" "PHI" "W" 6 1 29.7666666666667 0.5 0.5 3.5 18.8 10.9 0 1.7 0 9.1 16.6 94 98 6 -6.4
"34" "32" 2013-01-04 27.67 "PHO" "" "UTA" "L" -7 1 24.2 0 0 0 14.2 7.6 11.7 0 0 0 2 78 101 0.8 -4.9
"35" "33" 2013-01-06 27.67 "PHO" "" "MEM" "L" -11 1 31.4333333333333 0.666 0.636 13.3 5.5 10.3 0 5.3 0 0 19.3 142 103 16.6 12.3
"36" "34" 2013-01-08 27.68 "PHO" "@" "MIL" "L" -9 1 29.0666666666667 0.342 0.286 0 9.5 5.2 9.8 0 2.2 10.2 13.7 80 119 2.7 -6.1
"37" "35" 2013-01-09 27.68 "PHO" "@" "BOS" "L" -8 1 40.1166666666667 0.375 0.375 7.3 3 5.4 8.5 1.4 0 0 13.3 103 107 5.8 -2.2
"38" "36" 2013-01-11 27.69 "PHO" "@" "BRK" "L" -20 1 29.2 0 0 3.7 29.5 15.8 5.3 1.9 2.7 33.3 4.7 32 107 2 -4.3
"39" "37" 2013-01-12 27.69 "PHO" "@" "CHI" "W" 16 1 27.05 0.167 0.167 5.4 3.2 4 5.2 2 0 0 10.5 60 98 0.5 -8.2
"40" "38" 2013-01-14 27.7 "PHO" "" "OKC" "L" -12 1 27.1 0.25 0.25 3.8 12.4 7.9 5.3 0 2.6 33.3 10 51 113 0.2 -8.6
"41" "39" 2013-01-17 27.7 "PHO" "" "MIL" "L" -4 1 21.7666666666667 0.508 0.5 9.2 9.4 9.3 24.2 2.1 0 11.3 16.5 106 99 7.6 4.4
"42" "40" 2013-01-23 27.72 "PHO" "@" "SAC" "W" 10 1 22.6333333333333 0.333 0.333 5.2 5.6 5.4 5.5 2.3 0 14.3 13.7 73 108 1.9 -9.8
"43" "41" 2013-01-24 27.72 "PHO" "" "LAC" "W" 5 1 29.5 0.6 0.6 0 13.3 7.4 6.5 5.3 0 0 8 124 88 6.2 2.4
"44" "42" 2013-01-26 27.73 "PHO" "@" "SAS" "L" -9 1 36.6 0.546 0.429 6.6 25 16 14.2 0 0 9 14.2 122 117 11.7 0.9
"45" "43" 2013-01-27 27.73 "PHO" "@" "DAL" "L" -15 1 33.8 0.615 0.5 3.6 13.5 8.7 25.1 1.5 0 0 13 143 117 14.4 5
"46" "44" 2013-01-30 27.74 "PHO" "" "LAL" "W" 6 1 31.4833333333333 0.5 0.5 0 7.6 3.7 18.2 1.7 0 0 9.1 117 99 6.2 1.3
"47" "45" 2013-02-01 27.75 "PHO" "" "DAL" "L" -10 1 32.9166666666667 0.286 0.286 8.6 15.9 12 4.2 4.4 0 12.5 10.3 76 105 5.4 -4.2
"48" "46" 2013-02-02 27.75 "PHO" "@" "GSW" "L" -20 1 28.7666666666667 0.761 0.714 17.4 7.1 12.3 18.8 1.8 0 11.3 13.6 152 122 14.1 6.2
"49" "47" 2013-02-05 27.76 "PHO" "@" "MEM" "W" 6 1 29.8333333333333 0.643 0.643 10.4 18.7 15.2 0 3.6 0 36.4 17.1 84 96 6.2 -0.4
"50" "48" 2013-02-06 27.76 "PHO" "@" "NOH" "L" -9 1 26.9666666666667 0.6 0.6 10.2 14.1 12.2 6 2.1 2.9 16.7 10.6 113 107 7 2.6
"51" "49" 2013-02-08 27.76 "PHO" "@" "OKC" "L" -31 1 16.0333333333333 0 0 7.3 23.6 15.2 15.4 0 0 0 8.5 58 139 0.5 -9
"52" "50" 2013-02-10 27.77 "PHO" "" "OKC" "L" -28 1 23.6833333333333 0.368 0.3 27.3 0 15.3 0 0 0 8.4 20.9 90 111 4.9 -4.1
"53" "51" 2013-02-12 27.78 "PHO" "@" "LAL" "L" -6 1 31.9166666666667 0.623 0.6 3.1 9.4 6.3 27.4 1.6 4.9 8.7 15.4 123 95 13.3 9.4
"54" "52" 2013-02-19 27.79 "PHO" "@" "POR" "W" 4 1 17.35 0.667 0.667 14.2 11.3 12.6 0 3 0 40 12.8 85 104 2.5 -5.9
"55" "53" 2013-02-20 27.8 "PHO" "@" "GSW" "L" -10 1 33.4333333333333 0.6 0.6 3.4 6.7 5.1 20.1 0 0 0 6.9 151 128 7.3 -1.8
"56" "54" 2013-02-22 27.8 "PHO" "" "BOS" "L" -25 1 29.9333333333333 0.5 0.5 13.4 4.3 9.4 5.3 1.7 0 0 10.5 121 125 6.9 -3.3
"57" "55" 2013-02-24 27.81 "PHO" "" "SAS" "L" -10 1 33.5833333333333 0.273 0.273 3.2 11.3 6.9 0 2.9 0 15.4 16.1 52 100 -0.9 -10.4
"58" "56" 2013-02-26 27.81 "PHO" "" "MIN" "W" 1 1 29.5333333333333 0.4 0.4 3.2 27.6 15 5.4 1.8 0 28.6 10.7 66 79 4.1 -2.2
"59" "57" 2013-02-27 27.82 "PHO" "@" "SAS" "W" 4 1 20.9 0.444 0.429 5.1 29.5 16.4 7 0 0 0 16.8 107 101 5.4 0.5
"60" "58" 2013-03-01 27.82 "PHO" "" "ATL" "W" 5 1 10.9666666666667 0.5 0.5 10.4 11.2 10.8 0 0 0 0 8.5 120 100 2 -2.4
"61" "59" 2013-03-06 27.84 "PHO" "" "TOR" "L" -27 1 24.85 0.667 0.667 4.4 16.1 9.7 9.5 4 3.6 33.3 16 82 97 7.4 2.3
"62" "60" 2013-03-08 27.84 "PHO" "@" "SAC" "L" -9 0 18.2 0.25 0.25 12 8.2 10.4 6.5 0 0 20 11.7 74 131 0.6 -14.2
"63" "61" 2013-03-09 27.84 "PHO" "" "HOU" "W" 2 0 22.1 0.45 0.375 15.9 33.8 25.3 7.1 2.3 0 10.1 18.6 111 104 6.9 -4
"64" "62" 2013-03-11 27.85 "PHO" "" "DEN" "L" -15 0 15.1666666666667 0 0 14.7 14.1 14.4 9 0 0 0 5.7 72 118 0.9 -8.9
"65" "63" 2013-03-13 27.85 "PHO" "@" "HOU" "L" -30 0 18.0666666666667 0 0 0 15.2 7.1 0 0 0 0 2.5 0 121 -0.1 -11.1
"66" "" 2013-03-15 27.86 "PHO" "@" "ATL" "L" -13 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"67" "64" 2013-03-16 27.86 "PHO" "@" "WAS" "L" -22 0 31.9833333333333 0.59 0.563 10.2 19.6 15 0 1.6 0 9.7 14 125 133 9.7 -3.3
"68" "65" 2013-03-18 27.87 "PHO" "" "LAL" "W" 23 1 16.8 0.5 0.5 0 5.2 2.9 8.5 3 0 25 20.9 80 85 2.6 -4.8
"69" "66" 2013-03-20 27.87 "PHO" "" "WAS" "L" -9 1 33.9 0.421 0.364 8.8 30 17.5 6.3 3.1 0 20.2 19.9 79 94 7.4 -2.6
"70" "67" 2013-03-22 27.88 "PHO" "" "MIN" "L" -31 1 30.8833333333333 0.463 0.455 8.2 11.4 9.5 5.5 3.1 0 0 15.4 108 115 9.4 -0.8
"71" "68" 2013-03-24 27.88 "PHO" "" "BRK" "L" -2 1 36.8833333333333 0.778 0.778 14.5 6.8 11.3 0 0 2.1 18.2 12.3 134 122 13.2 0.5
"72" "69" 2013-03-27 27.89 "PHO" "@" "UTA" "L" -15 1 22.1333333333333 0.41 0.25 10.3 21.7 15.9 20.4 0 0 29.1 14.7 88 113 3.5 -6.6
"73" "70" 2013-03-28 27.9 "PHO" "" "SAC" "L" -14 1 33.9833333333333 0.61 0.615 5.5 7.8 6.5 13.8 4.4 0 16.9 22.2 106 120 13.8 -1.8
"74" "71" 2013-03-30 27.9 "PHO" "" "IND" "L" -8 1 32.9 0.611 0.611 12.5 0 5.5 13.4 1.6 0 10 13.7 126 126 10.9 2.5
"75" "72" 2013-04-03 27.91 "PHO" "@" "LAC" "L" -25 1 30.7833333333333 0.4 0.4 4.5 14.5 10 14.7 1.7 2.2 28.6 10.2 82 132 4.2 -4
"76" "73" 2013-04-05 27.92 "PHO" "" "GSW" "L" -4 1 31.7666666666667 0.625 0.625 18.1 14.7 16 24.9 1.6 4.3 0 11.9 159 116 15.5 11.4
"77" "74" 2013-04-07 27.92 "PHO" "" "NOH" "L" -3 1 28.6833333333333 0.333 0.333 4 15.2 9.7 10.9 0 0 25 12.8 67 109 1.1 -8.2
"78" "75" 2013-04-09 27.93 "PHO" "@" "HOU" "L" -3 1 25.15 0.515 0.333 14.3 8.5 11.2 0 2 0 11.4 14.7 113 108 5.3 -4.5
"79" "76" 2013-04-10 27.93 "PHO" "@" "DAL" "W" 11 1 33.1833333333333 0.86 0.833 9 20.3 14.8 15.3 3.2 0 9.2 14.8 161 96 20.4 13.8
"80" "77" 2013-04-13 27.94 "PHO" "@" "MIN" "L" -12 1 35.5333333333333 0.9 0.9 0 3.4 1.9 12.8 0 0 0 6.4 180 116 8.3 1.5
"81" "78" 2013-04-15 27.95 "PHO" "" "HOU" "W" 7 1 38.7333333333333 0.711 0.654 10.8 3 7.1 6.7 1.2 0 6.3 16.8 145 114 19.2 2.5
"82" "79" 2013-04-17 27.95 "PHO" "@" "DEN" "L" -20 1 25.8833333333333 0.651 0.556 9.4 17.7 12.9 0 5.6 2.4 15.7 19.2 119 108 14.3 7.1
"1" "1" 2013-10-30 28.49 "PHO" "" "POR" "W" 13 1 38.6 0.648 0.615 12.8 2.6 7.2 7.3 2.7 0 6.7 17.5 138 102 16.8 9.1
"2" "2" 2013-11-01 28.49 "PHO" "" "UTA" "W" 3 1 32.7833333333333 0.75 0.75 6.2 5.6 5.9 6.2 3.2 2.2 20 13.4 123 95 10.6 5.2
"3" "3" 2013-11-03 28.5 "PHO" "@" "OKC" "L" -7 1 39.2333333333333 0.6 0.6 2.8 11.9 7.3 8.3 0 0 28.6 7.6 97 111 3 -2.9
"4" "4" 2013-11-05 28.5 "PHO" "@" "NOP" "W" 6 1 35.2666666666667 0.583 0.583 0 19.4 10.1 11.7 1.4 0 14.3 9.3 111 105 7.1 -0.9
"5" "5" 2013-11-06 28.51 "PHO" "@" "SAS" "L" -3 1 28.5666666666667 0.214 0.214 4.4 11.5 8.2 8.3 3.4 4.9 30 15.7 47 93 1.5 -1.4
"6" "6" 2013-11-08 28.51 "PHO" "" "DEN" "W" 11 1 23.3333333333333 0.489 0.357 5 4.7 4.8 11.5 0 0 9.8 17.9 109 107 5.5 -1.9
"7" "7" 2013-11-10 28.52 "PHO" "" "NOP" "W" 7 1 23.8833333333333 0.2 0.2 0 9.1 4.8 5.6 4.4 0 16.7 11.8 47 103 0.8 -7
"8" "8" 2013-11-13 28.53 "PHO" "@" "POR" "L" -1 1 33.4833333333333 0.515 0.5 6.1 12.7 9.3 4.4 6.1 0 20.5 13.2 93 89 8.3 3
"9" "9" 2013-11-15 28.53 "PHO" "" "BRK" "L" -2 1 35.85 0.773 0.773 6.7 9.4 8.1 0 0 0 0 15.3 155 111 13.6 7.1
"10" "10" 2013-11-19 28.54 "PHO" "@" "SAC" "L" -3 1 30 0.333 0.333 0 20 10.1 14.2 1.6 0 14.3 10.4 76 108 3 -4.7
"11" "11" 2013-11-20 28.55 "PHO" "" "SAC" "L" -7 1 27.25 0.551 0.55 0 26.7 11.1 17.1 1.9 0 8.4 18.7 120 118 8.2 3
"12" "12" 2013-11-22 28.55 "PHO" "@" "CHA" "W" 7 1 24.8 1.161 1.25 19.9 4.3 11.5 18.1 0 0 29.1 18.5 149 103 14.7 13.7
"13" "13" 2013-11-24 28.56 "PHO" "@" "ORL" "W" 8 1 29.2166666666667 0.5 0.5 11.2 12 11.6 12 0 2.6 12.5 12.5 116 106 7.3 -1.2
"14" "14" 2013-11-25 28.56 "PHO" "@" "MIA" "L" -15 1 35.8666666666667 0.421 0.409 5.9 10.6 8.1 0 2.9 0 20.2 18.3 76 115 3.2 -7.4
"15" "15" 2013-11-27 28.56 "PHO" "" "POR" "W" 14 1 25.3833333333333 0.333 0.333 15.3 16.8 16.1 0 4.2 0 0 5.4 128 112 4.8 -1.6
"16" "16" 2013-11-29 28.57 "PHO" "@" "UTA" "W" 11 1 36.6833333333333 0.387 0.167 4.1 10.6 7.6 6.6 0 0 11.4 12.2 94 122 3.4 -7.8
"17" "17" 2013-11-30 28.57 "PHO" "" "UTA" "L" -8 1 29.2166666666667 0.825 0.857 8.4 14.1 11.1 0 5.7 0 20.2 15.9 131 121 11.4 5.5
"18" "18" 2013-12-03 28.58 "PHO" "@" "MEM" "L" -19 1 22.3333333333333 0.388 0.333 9.6 0 5.1 6.6 2.4 0 13.4 14.9 90 126 3.7 -4.9
"19" "19" 2013-12-04 28.58 "PHO" "@" "HOU" "W" 9 1 40.4166666666667 0.648 0.692 11.6 4.5 7.6 17.9 5 0 6.7 16.8 135 94 18.9 11.6
"20" "20" 2013-12-06 28.59 "PHO" "" "TOR" "W" 9 1 38.15 0.549 0.417 17.6 19.1 18.4 11.8 1.4 0 15.5 21.8 123 105 15.6 5.6
