"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 2013-10-30 21.35 "UTA" "" "OKC" "L" -3 0 22.9 0.347 0.5 14 19.1 16.5 0 0 0 41 9 65 106 0.7 -8.4
"2" "2" 2013-11-01 21.35 "UTA" "@" "PHO" "L" -3 0 7.95 0.568 NA 0 0 0 0 0 0 82 25.2 19 105 -3.8 -30.8
"3" "3" 2013-11-02 21.35 "UTA" "" "HOU" "L" -11 0 8.81666666666667 1.136 NA 0 33 13.8 0 6.1 12.1 69.4 14.5 67 96 0.7 -7.4
"4" "4" 2013-11-05 21.36 "UTA" "@" "BRK" "L" -16 0 15.6333333333333 0 0 32.7 47.2 39.3 0 0 9.2 0 13 46 98 0.7 -13.4
"5" "5" 2013-11-06 21.36 "UTA" "@" "BOS" "L" -10 0 5.9 NA NA 0 0 0 0 0 11.8 100 7.5 0 100 -1.1 -13.1
"6" "6" 2013-11-08 21.37 "UTA" "@" "CHI" "L" -24 0 15.6333333333333 0.431 0.5 22.7 72.2 41.9 0 6.7 4.8 0 12.6 107 83 8.9 8
"7" "7" 2013-11-09 21.37 "UTA" "@" "TOR" "L" -24 0 15.9166666666667 0.333 0.333 23.2 31.7 27.4 0 0 10.4 40 14.8 67 121 1.4 -13.5
"8" "8" 2013-11-11 21.38 "UTA" "" "DEN" "L" -19 0 11.7333333333333 0.387 0.333 17 0 9.4 15.2 0 0 0 15.7 107 120 2.6 -1.7
"9" "" 2013-11-13 21.38 "UTA" "" "NOP" "W" 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "9" 2013-11-15 21.39 "UTA" "" "SAS" "L" -9 0 3.58333333333333 0.521 0.5 77.3 65.3 72 0 0 0 51 69.2 63 92 0.9 -27.3
