"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1996-11-01 22.27 "GSW" "" "LAC" "L" -12 1 27.65 0.364 0.364 15.2 4 9.7 17 1.8 0 15.4 20.7 80 107 4.6 -6.3
"2" "2" 1996-11-03 22.28 "GSW" "@" "VAN" "W" 10 1 39.4166666666667 0.413 0.364 6.2 16.6 12 7.4 1.3 3.6 12.1 18 90 97 8.8 -3.4
"3" "3" 1996-11-05 22.28 "GSW" "" "POR" "L" -18 1 28.8333333333333 0.513 0.455 12.7 11.5 12.1 6.2 0 2.4 18 24.9 95 117 7.7 -4.1
"4" "4" 1996-11-07 22.29 "GSW" "" "NYK" "L" -5 1 36.6333333333333 0.651 0.556 3.7 6.5 4.7 0 0 0 15.7 15.9 112 121 7.1 -5.9
"5" "5" 1996-11-08 22.29 "GSW" "@" "DEN" "L" -3 1 17.5 0.167 0.167 25.7 25.7 25.7 0 0 4 25 21.6 48 97 -0.2 -15.2
"6" "6" 1996-11-12 22.3 "GSW" "@" "SEA" "L" -19 1 29.0666666666667 0.556 0.556 0 35.1 17 16.2 0 2.4 25 18.3 94 127 7.2 -0.7
"7" "7" 1996-11-14 22.31 "GSW" "" "MIL" "W" 9 1 21.85 0.75 0.75 5.7 10.9 8.4 6.7 0 3.1 0 8.9 157 104 6.3 2.1
"8" "8" 1996-11-16 22.31 "GSW" "@" "HOU" "L" -12 1 11.4166666666667 0.512 0.5 0 14.5 5.3 0 4.4 0 0 17.8 113 113 2.3 -6.4
"9" "9" 1996-11-17 22.32 "GSW" "@" "SAS" "W" 10 0 4.55 0 0 0 20 12 0 0 0 0 29.7 0 108 -1.8 -38.8
"10" "10" 1996-11-19 22.32 "GSW" "" "LAL" "L" -3 0 14.7333333333333 0 0 25.9 17.8 21.9 0 0 0 40 15.5 44 122 -2.6 -23.2
"11" "11" 1996-11-21 22.33 "GSW" "@" "UTA" "L" -5 0 10.3166666666667 0 0 22.1 23.6 22.8 0 0 7.7 34.7 12.9 37 102 -1 -13.7
"12" "12" 1996-11-23 22.33 "GSW" "" "HOU" "L" -5 0 8.83333333333333 0.798 1 0 11.8 7.4 0 0 0 34.7 16.3 90 122 0.8 -9.8
"13" "13" 1996-11-26 22.34 "GSW" "" "MIA" "L" -19 0 9.53333333333333 0 0 22.2 0 13.2 15.2 0 0 25 19 35 134 -1.8 -23.5
"14" "14" 1996-11-28 22.35 "GSW" "" "NJN" "W" 6 0 3.11666666666667 1 1 0 0 0 0 0 0 50 27.7 63 131 -0.1 -19.2
"15" "15" 1996-11-29 22.35 "GSW" "@" "POR" "L" -26 0 20.5333333333333 0.773 0.667 11.4 18.5 14.8 0 0 0 0 8.9 172 135 5.4 -4.8
"16" "16" 1996-12-01 22.35 "GSW" "" "POR" "W" 28 0 18.0166666666667 0.41 0.25 24.2 20.9 22.5 0 0 0 17 14.2 105 82 3.8 -5.2
"17" "17" 1996-12-03 22.36 "GSW" "" "DEN" "W" 15 0 0.65 NA NA 0 100 67.6 0 0 0 NA 0 0 84 0.3 7.5
"18" "18" 1996-12-04 22.36 "GSW" "@" "PHO" "L" -31 0 7.88333333333333 0.667 0.667 11.5 16.2 13.5 0 0 0 0 16 137 125 3.3 0.3
"19" "19" 1996-12-06 22.37 "GSW" "" "IND" "L" -15 0 5.23333333333333 0.5 0.5 64 0 31.6 0 0 0 33.3 28.7 88 105 1.7 -9
"20" "20" 1996-12-08 22.37 "GSW" "" "SAS" "W" 26 0 12 0.667 0.667 24.2 9.8 16.2 21.1 4.6 0 50 23.1 89 96 1.8 -8.1
"21" "21" 1996-12-10 22.38 "GSW" "@" "TOR" "W" 10 0 1.95 0.174 0 100 0 57.8 0 0 0 25.8 81.2 55 109 -0.4 -59.7
"22" "22" 1996-12-12 22.38 "GSW" "@" "NYK" "L" -11 0 10.8833333333333 0 0 8.7 8.7 8.7 0 0 6.7 50 16.5 13 104 -1.7 -18
"23" "23" 1996-12-13 22.39 "GSW" "@" "CLE" "L" -14 0 5.56666666666667 0.5 0.5 0 0 0 0 0 0 0 15.9 104 126 1 -4.4
